source_index|h_power|x_power|y_power|expr
141|0|3|5|-A3_3_5*h_0_0-A4_3_5-auxP3_2_4*h_1_1-auxP3_2_5*h_1_0-auxP3_3_0*h_0_5-auxP3_3_1*h_0_4-auxP3_3_2*h_0_3-auxP3_3_3*h_0_2-auxP3_3_4*h_0_1+auxP4_3_5
142|0|3|6|-A3_3_5*h_0_1-auxP3_2_5*h_1_1-auxP3_2_6*h_1_0-auxP3_3_0-auxP3_3_1*h_0_5-auxP3_3_2*h_0_4-auxP3_3_3*h_0_3-auxP3_3_4*h_0_2+auxP4_3_6
143|0|3|7|-A3_3_5*h_0_2-auxP3_2_6*h_1_1-auxP3_2_7*h_1_0-auxP3_3_1-auxP3_3_2*h_0_5-auxP3_3_3*h_0_4-auxP3_3_4*h_0_3+auxP4_3_7
144|0|3|8|-A3_3_5*h_0_3-auxP3_2_7*h_1_1-auxP3_2_8*h_1_0-auxP3_3_2-auxP3_3_3*h_0_5-auxP3_3_4*h_0_4+auxP4_3_8
145|0|3|9|-A2_2_3*h_1_0-A3_3_5*h_0_4-auxP3_2_8*h_1_1-auxP3_3_3-auxP3_3_4*h_0_5+auxP4_3_9
146|0|3|10|-A2_2_3*h_1_1-A3_3_5*h_0_5-auxP3_3_4+auxP4_3_10
147|0|4|0|-A3_4_0*h_0_0-A4_4_0-auxP3_3_0*h_1_0+auxP4_4_0
148|0|4|1|-A3_4_0*h_0_1-A4_4_1-auxP3_3_0*h_1_1-auxP3_3_1*h_1_0+auxP4_4_1
149|0|4|2|-A3_4_0*h_0_2-A4_4_2-auxP3_3_1*h_1_1-auxP3_3_2*h_1_0+auxP4_4_2
150|0|4|3|-A3_4_0*h_0_3-A4_4_3-auxP3_3_2*h_1_1-auxP3_3_3*h_1_0+auxP4_4_3
151|0|4|4|-A3_4_0*h_0_4-A4_4_4-auxP3_3_3*h_1_1-auxP3_3_4*h_1_0+auxP4_4_4
152|0|4|5|-A3_3_5*h_1_0-A3_4_0*h_0_5-A4_4_5-auxP3_3_4*h_1_1+auxP4_4_5
153|0|4|6|-A3_3_5*h_1_1-A3_4_0+auxP4_4_6
154|0|5|0|-A3_4_0*h_1_0-A4_5_0+auxP4_5_0
