index	exponent_vector	monomial
339	1,5,2,3,1,0,0	b4*q2_0^5*q3_0^2*q4_0^3*q5_0
340	3,4,2,3,1,0,0	b4^3*q2_0^4*q3_0^2*q4_0^3*q5_0
341	5,3,2,3,1,0,0	b4^5*q2_0^3*q3_0^2*q4_0^3*q5_0
342	7,2,2,3,1,0,0	b4^7*q2_0^2*q3_0^2*q4_0^3*q5_0
343	9,1,2,3,1,0,0	b4^9*q2_0*q3_0^2*q4_0^3*q5_0
344	11,0,2,3,1,0,0	b4^11*q3_0^2*q4_0^3*q5_0
345	0,7,1,3,1,0,0	q2_0^7*q3_0*q4_0^3*q5_0
346	2,6,1,3,1,0,0	b4^2*q2_0^6*q3_0*q4_0^3*q5_0
347	4,5,1,3,1,0,0	b4^4*q2_0^5*q3_0*q4_0^3*q5_0
348	6,4,1,3,1,0,0	b4^6*q2_0^4*q3_0*q4_0^3*q5_0
349	8,3,1,3,1,0,0	b4^8*q2_0^3*q3_0*q4_0^3*q5_0
350	10,2,1,3,1,0,0	b4^10*q2_0^2*q3_0*q4_0^3*q5_0
351	12,1,1,3,1,0,0	b4^12*q2_0*q3_0*q4_0^3*q5_0
352	0,0,7,2,1,0,0	q3_0^7*q4_0^2*q5_0
353	0,3,5,2,1,0,0	q2_0^3*q3_0^5*q4_0^2*q5_0
354	0,0,2,7,0,0,0	q3_0^2*q4_0^7
355	0,0,6,4,0,0,0	q3_0^6*q4_0^4
356	9,2,0,3,2,0,0	b4^9*q2_0^2*q4_0^3*q5_0^2
357	11,1,0,3,2,0,0	b4^11*q2_0*q4_0^3*q5_0^2
358	13,0,0,3,2,0,0	b4^13*q4_0^3*q5_0^2
359	0,1,5,2,2,0,0	q2_0*q3_0^5*q4_0^2*q5_0^2
360	2,0,5,2,2,0,0	b4^2*q3_0^5*q4_0^2*q5_0^2
361	1,2,4,2,2,0,0	b4*q2_0^2*q3_0^4*q4_0^2*q5_0^2
362	3,1,4,2,2,0,0	b4^3*q2_0*q3_0^4*q4_0^2*q5_0^2
363	5,0,4,2,2,0,0	b4^5*q3_0^4*q4_0^2*q5_0^2
364	0,4,3,2,2,0,0	q2_0^4*q3_0^3*q4_0^2*q5_0^2
365	2,3,3,2,2,0,0	b4^2*q2_0^3*q3_0^3*q4_0^2*q5_0^2
366	4,2,3,2,2,0,0	b4^4*q2_0^2*q3_0^3*q4_0^2*q5_0^2
367	6,1,3,2,2,0,0	b4^6*q2_0*q3_0^3*q4_0^2*q5_0^2
368	8,0,3,2,2,0,0	b4^8*q3_0^3*q4_0^2*q5_0^2
369	1,5,2,2,2,0,0	b4*q2_0^5*q3_0^2*q4_0^2*q5_0^2
