admissible rows 48<=n<=100 (Kmin=16, full (1)-(13)): 592
  u_s=1 (Prop 6.4 automatic): 457
  u_s>=2 (hypothesis live)  : 135
  u_s<=0 (no minor disc)    : 0

AUTO  n= 80 m= 60 M=(-60, 30, 78) d=(80, 20, 10, 2) V=(1, 9) d_s=10 v_s=9 u_s=1 v/u=9 ell=7 -> (8,6)
AUTO  n= 80 m= 60 M=(-60, 50, 78) d=(80, 20, 10, 2) V=(1, 9) d_s=10 v_s=9 u_s=1 v/u=9 ell=7 -> (8,6)
LIVE  n= 80 m= 60 M=(-60, -50, -15, 78) d=(80, 20, 10, 5, 1) V=(1, 6, 3) d_s=5 v_s=3 u_s=2 v/u=3/2 ell=0 -> (32,24)
LIVE  n= 80 m= 60 M=(-60, -50, 5, 78) d=(80, 20, 10, 5, 1) V=(1, 6, 3) d_s=5 v_s=3 u_s=2 v/u=3/2 ell=0 -> (32,24)
LIVE  n= 80 m= 60 M=(-60, -50, 55, 78) d=(80, 20, 10, 5, 1) V=(1, 6, 3) d_s=5 v_s=3 u_s=2 v/u=3/2 ell=0 -> (32,24)
LIVE  n= 80 m= 60 M=(-60, -30, 35, 78) d=(80, 20, 10, 5, 1) V=(1, 6, 3) d_s=5 v_s=3 u_s=2 v/u=3/2 ell=0 -> (32,24)
LIVE  n= 80 m= 60 M=(-60, -30, 35, 78) d=(80, 20, 10, 5, 1) V=(7, 6, 3) d_s=5 v_s=3 u_s=2 v/u=3/2 ell=0 -> (32,24)
AUTO  n= 80 m= 60 M=(-60, 10, 35, 78) d=(80, 20, 10, 5, 1) V=(1, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (16,12)
AUTO  n= 80 m= 60 M=(-60, 10, 65, 78) d=(80, 20, 10, 5, 1) V=(1, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (16,12)
AUTO  n= 80 m= 60 M=(-60, 30, 35, 78) d=(80, 20, 10, 5, 1) V=(1, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (16,12)
AUTO  n= 80 m= 60 M=(-60, 30, 35, 78) d=(80, 20, 10, 5, 1) V=(3, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (16,12)
AUTO  n= 80 m= 60 M=(-60, 30, 45, 78) d=(80, 20, 10, 5, 1) V=(1, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (16,12)
AUTO  n= 80 m= 60 M=(-60, 30, 55, 78) d=(80, 20, 10, 5, 1) V=(1, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (16,12)
AUTO  n= 80 m= 60 M=(-60, 30, 65, 78) d=(80, 20, 10, 5, 1) V=(1, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (16,12)
AUTO  n= 80 m= 60 M=(-60, 30, 75, 78) d=(80, 20, 10, 5, 1) V=(1, 5, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (16,12)
AUTO  n= 80 m= 60 M=(-60, 30, 75, 78) d=(80, 20, 10, 5, 1) V=(1, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (16,12)
LIVE  n= 81 m= 54 M=(-54, -36, 79) d=(81, 27, 9, 1) V=(1, 7) d_s=9 v_s=7 u_s=2 v/u=7/2 ell=4 -> (18,12)
LIVE  n= 81 m= 54 M=(-54, 63, 79) d=(81, 27, 9, 1) V=(8, 7) d_s=9 v_s=7 u_s=2 v/u=7/2 ell=4 -> (18,12)
