snapshot_utc=2026-08-28T02:34:18Z
               total        used        free      shared  buff/cache   available
Mem:     532329013248  5163732992 527975358464     3104768  3208482816 527165280256
Swap:              0           0           0
    PID    PPID STAT ELAPSED   RSS %CPU COMMAND         COMMAND
    401       2 I<    275665     0  0.0 kworker/63:0H-e [kworker/63:0H-events_highpri]
    402       2 S     275665     0  0.0 kdevtmpfs       [kdevtmpfs]
    403       2 I<    275665     0  0.0 kworker/R-inet_ [kworker/R-inet_frag_wq]
    404       2 I     275665     0  0.0 rcu_tasks_rude_ [rcu_tasks_rude_kthread]
    405       2 I     275665     0  0.0 rcu_tasks_trace [rcu_tasks_trace_kthread]
    406       2 S     275665     0  0.0 kauditd         [kauditd]
    407       2 S     275665     0  0.0 khungtaskd      [khungtaskd]
    409       2 S     275665     0  0.0 oom_reaper      [oom_reaper]
    411       2 I<    275665     0  0.0 kworker/R-write [kworker/R-writeback]
    412       2 S     275665     0  0.0 kcompactd0      [kcompactd0]
    413       2 SN    275665     0  0.0 ksmd            [ksmd]
    414       2 SN    275665     0  0.0 khugepaged      [khugepaged]
    415       2 I<    275665     0  0.0 kworker/R-kbloc [kworker/R-kblockd]
    416       2 I<    275665     0  0.0 kworker/R-blkcg [kworker/R-blkcg_punt_bio]
    417       2 I<    275665     0  0.0 kworker/R-kinte [kworker/R-kintegrityd]
    418       2 S     275665     0  0.0 irq/9-acpi      [irq/9-acpi]
    420       2 I<    275664     0  0.0 kworker/R-tpm_d [kworker/R-tpm_dev_wq]
    421       2 I<    275664     0  0.0 kworker/R-ata_s [kworker/R-ata_sff]
    422       2 I<    275664     0  0.0 kworker/R-md    [kworker/R-md]
    423       2 I<    275664     0  0.0 kworker/R-md_bi [kworker/R-md_bitmap]
    424       2 I<    275664     0  0.0 kworker/R-edac- [kworker/R-edac-poller]
    425       2 I<    275664     0  0.0 kworker/R-devfr [kworker/R-devfreq_wq]
    426       2 S     275664     0  0.0 watchdogd       [watchdogd]
    427       2 I     275664     0  0.0 kworker/28:1-ev [kworker/28:1-events]
    428       2 I<    275664     0  0.0 kworker/R-quota [kworker/R-quota_events_unbound]
    429       2 I<    275664     0  0.0 kworker/0:1H-kb [kworker/0:1H-kblockd]
    431       2 S     275664     0  0.0 kswapd0         [kswapd0]
    432       2 S     275664     0  0.0 ecryptfs-kthrea [ecryptfs-kthread]
    433       2 I<    275664     0  0.0 kworker/R-kthro [kworker/R-kthrotld]
    434       2 I<    275664     0  0.0 kworker/R-acpi_ [kworker/R-acpi_thermal_pm]
    435       2 I<    275664     0  0.0 kworker/R-nvme- [kworker/R-nvme-wq]
    436       2 I<    275664     0  0.0 kworker/R-nvme- [kworker/R-nvme-reset-wq]
